ubicacion,TOTAL_PROCESOS,coordenadas
"CUCUTILLA, NORTE DE SANTANDER",19,"Cucutilla, Centro, Norte de Santander, RAP Gran Santander, Colombia"
"CUMARAL, META",67,"Cumaral, Piedemonte, Meta, RAP (Especial) Central, 501021, Colombia"
"CUMARIBO, VICHADA",5,"Cumaribo, Vichada, RAP Llanos, Colombia"
"CUMBAL, NARIÑO",26,"Cumbal, Exprovincia de Obando, Nariño, RAP Pacífico, Colombia"
"CUMBITARA, NARIÑO",4,"Cumbitara, La Cordillera, Nariño, RAP Pacífico, Colombia"
"CUNDAY, TOLIMA",8,"Cunday, Oriente, Tolima, RAP Eje Cafetero, Colombia"
"CURILLO, CAQUETÁ",6,"Curillo, Caquetá, RAP Amazonía, Colombia"
"CURITÍ, SANTANDER",20,"Curití, Guanentá, Santander, RAP Gran Santander, Colombia"
"CURUMANÍ, CESAR",37,"Curumaní, Cesar, RAP Caribe, Colombia"
"CÁCERES, ANTIOQUIA",12,"Cáceres, Bajo Cauca, Antioquia, RAP del Agua y la Montaña, Colombia"
"CÁCOTA, NORTE DE SANTANDER",9,"Cácota, Suroccidente, Norte de Santander, RAP Gran Santander, Colombia"
"CÉRTEGUI, CHOCÓ",2,"Cértegui, San Juan, Chocó, RAP Pacífico, Colombia"
"CÓMBITA, BOYACA",10,"Cómbita, Centro, Boyacá, RAP (Especial) Central, 150201, Colombia"
"CÓRDOBA, BOLÍVAR",8,"Córdoba, Montes de María, Bolívar, RAP Caribe, Colombia"
"CÓRDOBA, NARIÑO",7,"Córdoba, Exprovincia de Obando, Nariño, RAP Pacífico, Colombia"
"CÓRDOBA, QUINDÍO",10,"Córdoba, Cordillerana, Quindío, RAP Eje Cafetero, 632020, Colombia"
"CÚCUTA, NORTE DE SANTANDER",3557,"Cúcuta, Oriental, Norte de Santander, RAP Gran Santander, Colombia"
"DABEIBA, ANTIOQUIA",26,"Dabeiba, Occidente, Antioquia, RAP del Agua y la Montaña, Colombia"
"DAGUA, VALLE DEL CAUCA",52,"Dagua, Sur, Valle del Cauca, RAP Pacífico, Colombia"
"DIBULLA, LA GUAJIRA",27,"Dibulla, La Guajira, RAP Caribe, 446009, Colombia"
"DISTRACCIÓN, LA GUAJIRA",8,"Distracción, La Guajira, RAP Caribe, Colombia"
"DOLORES, TOLIMA",11,"Dolores, Suroriente, Tolima, RAP (Especial) Central, Colombia"
"DON MATÍAS, ANTIOQUIA",50,"Conexión Girardota Don Matías, Barbosa, Valle de Aburrá, Antioquia, RAP del Agua y la Montaña, 051037, Colombia"
"DOSQUEBRADAS, RISARALDA",1053,"Dosquebradas, Risaralda, RAP Eje Cafetero, Colombia"
"DUITAMA, BOYACA",710,"Duitama, Tundama, Boyacá, RAP (Especial) Central, Colombia"
"DURANIA, NORTE DE SANTANDER",8,"Duranía, Suroriente, Norte de Santander, RAP Gran Santander, 544510, Colombia"
"EBÉJICO, ANTIOQUIA",7,"Ebéjico, Occidente, Antioquia, RAP del Agua y la Montaña, Colombia"
"EL BAGRE, ANTIOQUIA",36,"El Bagre, Bajo Cauca, Antioquia, RAP del Agua y la Montaña, Colombia"
"EL BANCO, MAGDALENA",70,"El Banco, Magdalena, RAP Caribe, Colombia"
"EL CAIRO, VALLE DEL CAUCA",4,"El Cairo, Norte, Valle del Cauca, RAP Pacífico, Colombia"
"EL CALVARIO, META",5,"El Calvario, Piedemonte, Meta, RAP (Especial) Central, Colombia"
"EL CANTÓN DEL SAN PABLO, CHOCÓ",4,
"EL CARMEN DE ATRATO, CHOCÓ",15,"El Carmen de Atrato, Atrato, Chocó, RAP Pacífico, Colombia"
"EL CARMEN DE BOLÍVAR, BOLÍVAR",79,"El Carmen de Bolívar, Montes de María, Bolívar, RAP Caribe, Colombia"
"EL CARMEN DE CHUCURÍ, SANTANDER",15,"El Carmen de Chucurí, Yariguíes, Santander, RAP Gran Santander, Colombia"
"EL CARMEN DE VIBORAL, ANTIOQUIA",133,"El Carmen de Viboral, Oriente, Antioquia, RAP del Agua y la Montaña, 054030, Colombia"
"EL CARMEN, NORTE DE SANTANDER",4,"El Carmen, Occidente, Norte de Santander, RAP Gran Santander, Colombia"
"EL CASTILLO, META",5,"El Castillo, Ariari, Meta, RAP (Especial) Central, Colombia"
"EL CERRITO, VALLE DEL CAUCA",198,"El Cerrito, Sur, Valle del Cauca, RAP Pacífico, Colombia"
"EL CHARCO, NARIÑO",5,"El Charco, Sanquianga, Nariño, RAP Pacífico, Colombia"
"EL COCUY, BOYACA",5,"El Cocuy, Gutiérrez, Boyacá, RAP (Especial) Central, 151280, Colombia"
"EL COLEGIO, CUNDINAMARCA",59,"El Colegio, Tequendama, Cundinamarca, RAP (Especial) Central, 252630, Colombia"
"EL COPEY, CESAR",27,"El Copey, Cesar, RAP Caribe, Colombia"
"EL DONCELLO, CAQUETÁ",41,"El Doncello, Caquetá, RAP Amazonía, Colombia"
"EL DORADO, META",4,"El Dorado, Ariari, Meta, RAP (Especial) Central, Colombia"
"EL DOVIO, VALLE DEL CAUCA",9,"El Dovio, Norte, Valle del Cauca, RAP Pacífico, Colombia"
"EL ENCANTO, AMAZONAS",1,"El Encanto, Amazonas, RAP Amazonía, Colombia"
"EL ESPINO, BOYACA",4,"El Espino, Gutiérrez, Boyacá, RAP (Especial) Central, Colombia"
"EL GUACAMAYO, SANTANDER",4,"El Guacamayo, Comunera, Santander, RAP Gran Santander, Colombia"
"EL GUAMO, BOLÍVAR",4,"El Guamo, Montes de María, Bolívar, RAP Caribe, Colombia"
"EL LITORAL DEL SAN JUAN, CHOCÓ",3,"El Litoral del San Juan, Pacífico Sur, Chocó, RAP Pacífico, Colombia"
"EL MOLINO, LA GUAJIRA",7,"El Molino, La Guajira, RAP Caribe, Colombia"
"EL PASO, CESAR",44,"El Paso, Cesar, RAP Caribe, Colombia"
"EL PAUJIL, CAQUETÁ",7,"El Paujil, Caquetá, RAP Amazonía, Colombia"
"EL PEÑOL, NARIÑO",5,"El Peñol, Guambuyaco, Nariño, RAP Pacífico, Colombia"
"EL PEÑÓN, BOLÍVAR",3,"El Peñón, Bolívar, RAP Caribe, Colombia"
"EL PEÑÓN, CUNDINAMARCA",2,"El Peñón, Sibaté, Soacha, Cundinamarca, RAP (Especial) Central, Colombia"
"EL PEÑÓN, SANTANDER",1,"El Peñón, Vélez, Santander, RAP Gran Santander, Colombia"
"EL PIÑON, MAGDALENA",15,"El Piñón, Magdalena, RAP Caribe, Colombia"
"EL PLAYÓN, SANTANDER",11,"El Playón, Metropolitana, Santander, RAP Gran Santander, Colombia"
"EL RETORNO, GUAVIARE",5,"El Retorno, Guaviare, RAP Amazonía, 951001, Colombia"
"EL RETÉN, MAGDALENA",12,"El Retén, Magdalena, RAP Caribe, Colombia"
"EL ROBLE, SUCRE",11,"El Roble, Montes de María, Sucre, RAP Caribe, Colombia"
"EL ROSAL, CUNDINAMARCA",84,"El Rosal, Soacha Central, Soacha ciudad, Soacha, Cundinamarca, RAP (Especial) Central, 250051, Colombia"
"EL ROSARIO, NARIÑO",6,"El Rosario, La Cordillera, Nariño, RAP Pacífico, Colombia"
"EL SANTUARIO, ANTIOQUIA",60,"El Santuario, Oriente, Antioquia, RAP del Agua y la Montaña, 054450, Colombia"
"EL TABLÓN DE GÓMEZ, NARIÑO",9,"El Tablón de Gómez, San Pablo, Río Mayo, Nariño, RAP Pacífico, Colombia"
"EL TAMBO, CAUCA",32,"El Tambo, Centro, Cauca, RAP Pacífico, Colombia"
"EL TAMBO, NARIÑO",18,"El Tambo, Guambuyaco, Nariño, RAP Pacífico, Colombia"
"EL TARRA, NORTE DE SANTANDER",5,"El Tarra, Norte, Norte de Santander, RAP Gran Santander, Colombia"
"EL ZULIA, NORTE DE SANTANDER",51,"El Zulia, Oriental, Norte de Santander, RAP Gran Santander, Colombia"
"EL ÁGUILA, VALLE DEL CAUCA",9,"El Águila, Norte, Valle del Cauca, RAP Pacífico, Colombia"
"ELÍAS, HUILA",10,"Elías, Sur, Huila, RAP (Especial) Central, Colombia"
"ENCINO, SANTANDER",1,"Encino, Guanentá, Santander, RAP Gran Santander, Colombia"
"ENCISO, SANTANDER",2,"Enciso, García Rovira, Santander, RAP Gran Santander, Colombia"
"ENTRERRIOS, ANTIOQUIA",17,"Entrerríos, Norte, Antioquia, RAP del Agua y la Montaña, Colombia"
"ENVIGADO, ANTIOQUIA",2195,"Envigado, Valle de Aburrá, Antioquia, RAP del Agua y la Montaña, Colombia"
"ESPINAL, TOLIMA",311,"Espinal, Centro, Tolima, RAP (Especial) Central, Colombia"
"FACATATIVÁ, CUNDINAMARCA",810,"Facatativá, Sabana Occidente, Cundinamarca, RAP (Especial) Central, Colombia"
"FALAN, TOLIMA",10,"Falan, Norte, Tolima, RAP (Especial) Central, Colombia"
"FILADELFIA, CALDAS",6,"Filadelfia, Alto Occidente, Caldas, RAP del Agua y la Montaña, Colombia"
"FILANDIA, QUINDÍO",23,"Filandia, Fría, Quindío, RAP Eje Cafetero, 634001, Colombia"
"FIRAVITOBA, BOYACA",6,"Firavitoba, Sugamuxi, Boyacá, RAP (Especial) Central, Colombia"
"FLANDES, TOLIMA",77,"Flandes, Centro, Tolima, RAP (Especial) Central, Colombia"
"FLORENCIA, CAQUETÁ",1221,"Perímetro Urbano Florencia, Florencia, Caquetá, RAP Amazonía, 180002, Colombia"
"FLORENCIA, CAUCA",3,"Florencia, Sur del Cauca, Cauca, RAP Pacífico, Colombia"
"FLORESTA, BOYACA",5,"Floresta, Tundama, Boyacá, RAP (Especial) Central, 150601, Colombia"
"FLORIDA, VALLE DEL CAUCA",127,"Florida, Sur, Valle del Cauca, RAP Pacífico, Colombia"
"FLORIDABLANCA, SANTANDER",1460,"Floridablanca, Metropolitana, Santander, RAP Gran Santander, Colombia"
"FLORIÁN, SANTANDER",9,"Florián, Vélez, Santander, RAP Gran Santander, 684541, Colombia"
"FOMEQUE, CUNDINAMARCA",37,"Fómeque, Oriente, Cundinamarca, RAP (Especial) Central, 251640, Colombia"
"FONSECA, LA GUAJIRA",56,"Fonseca, La Guajira, RAP Caribe, Colombia"
"FORTUL, ARAUCA",20,"Fortul, Arauca, RAP Llanos, Colombia"
"FOSCA, CUNDINAMARCA",15,"Fosca, Oriente, RAP (Especial) Central, Colombia"
"FRANCISCO PIZARRO, NARIÑO",1,"Francisco Pizarro (Salahonda), Pacífico Sur, Nariño, RAP Pacífico, Colombia"
"FREDONIA, ANTIOQUIA",18,"Fredonia, Suroeste, Antioquia, RAP del Agua y la Montaña, Colombia"
"FRESNO, TOLIMA",51,"Fresno, Norte, Tolima, RAP (Especial) Central, Colombia"
"FRONTINO, ANTIOQUIA",18,"Frontino, Occidente, Antioquia, RAP del Agua y la Montaña, Colombia"
"FUENTE DE ORO, META",11,"Fuente de Oro, Ariari, Meta, RAP (Especial) Central, Colombia"
"FUNDACIÓN, MAGDALENA",112,"Fundación, Magdalena, RAP Caribe, Colombia"
"FUNES, NARIÑO",5,"Funes, Exprovincia de Obando, Nariño, RAP Pacífico, Colombia"
"FUNZA, CUNDINAMARCA",753,"Funza, Sabana Occidente, Cundinamarca, RAP (Especial) Central, Colombia"
"FUSAGASUGÁ, CUNDINAMARCA",1103,"Fusagasugá, Sumapaz, Cundinamarca, RAP (Especial) Central, Colombia"
"FÚQUENE, CUNDINAMARCA",9,"Fúquene, Ubaté, Cundinamarca, RAP (Especial) Central, Colombia"
"GACHALA, CUNDINAMARCA",3,"Gachalá, Guavio, RAP (Especial) Central, Colombia"
"GACHANCIPÁ, CUNDINAMARCA",34,"Gachancipá, Sabana Centro, RAP (Especial) Central, Colombia"
"GACHANTIVÁ, BOYACA",2,"Gachantivá, Ricaurte, Boyacá, RAP (Especial) Central, Colombia"
"GACHETÁ, CUNDINAMARCA",20,"Río Gachetá, Gachetá, Guavio, Cundinamarca, RAP (Especial) Central, Colombia"
"GALAPA, ATLÁNTICO",114,"Galapa, Atlántico, RAP Caribe, Colombia"
"GALERAS, SUCRE",17,"Galeras, Montes de María, Sucre, RAP Caribe, Colombia"
"GALÁN, SANTANDER",1,"Galán, Comunera, Santander, RAP Gran Santander, Colombia"
"GAMA, CUNDINAMARCA",2,"Gama, Guavio, RAP (Especial) Central, Colombia"
"GAMARRA, CESAR",4,"Gamarra, Cesar, RAP Caribe, Colombia"
"GAMBITA, SANTANDER",6,"Gámbita, Comunera, Santander, RAP Gran Santander, Colombia"
"GAMEZA, BOYACA",4,"Gámeza, Sugamuxi, Boyacá, RAP (Especial) Central, 152020, Colombia"
"GARAGOA, BOYACA",49,"Garagoa, Neira, Boyacá, RAP (Especial) Central, 152860, Colombia"
"GARZÓN, HUILA",236,"Garzón, Centro, Huila, RAP (Especial) Central, 414020, Colombia"
"GIGANTE, HUILA",44,"Gigante, Centro, Huila, RAP (Especial) Central, Colombia"
"GINEBRA, VALLE DEL CAUCA",60,"Ginebra, Sur, Valle del Cauca, RAP Pacífico, Colombia"
"GIRALDO, ANTIOQUIA",9,"Giraldo, Occidente, Antioquia, RAP del Agua y la Montaña, Colombia"
"GIRARDOT, CUNDINAMARCA",799,"Girardot, Alto Magdalena, Cundinamarca, RAP (Especial) Central, Colombia"
"GIRARDOTA, ANTIOQUIA",250,"Girardota, Valle de Aburrá, Antioquia, RAP del Agua y la Montaña, 051037, Colombia"
"GIRÓN, SANTANDER",543,"Girón, Metropolitana, Santander, RAP Gran Santander, Colombia"
"GONZÁLEZ, CESAR",3,"González, Cesar, RAP Caribe, Colombia"
"GRAMALOTE, NORTE DE SANTANDER",12,"Gramalote, Centro, Norte de Santander, RAP Gran Santander, Colombia"
"GRANADA, ANTIOQUIA",13,"Granada, Oriente, Antioquia, RAP del Agua y la Montaña, 051040, Colombia"
"GRANADA, CUNDINAMARCA",15,"Granada, Sumapaz, Cundinamarca, RAP (Especial) Central, Colombia"
"GRANADA, META",255,"Granada, Ariari, Meta, RAP (Especial) Central, 504001, Colombia"
"GUACA, SANTANDER",5,"Guaca, García Rovira, Santander, RAP Gran Santander, Colombia"
"GUACARÍ, VALLE DEL CAUCA",102,"Guacarí, Centro, Valle del Cauca, RAP Pacífico, Colombia"
"GUACHENE, CAUCA",21,"Guachené, Norte, Cauca, RAP Pacífico, Colombia"
"GUACHETÁ, CUNDINAMARCA",16,"Estación Guachetá - La Isla, Ferrocarril del Norte, Guachetá, Ubaté, Cundinamarca, RAP (Especial) Central, Colombia"
"GUACHUCAL, NARIÑO",20,"Guachucal, Exprovincia de Obando, Nariño, RAP Pacífico, Colombia"
"GUADALAJARA DE BUGA, VALLE DEL CAUCA",663,"Buga, Centro, Valle del Cauca, RAP Pacífico, Colombia"
"GUADALUPE, ANTIOQUIA",7,"Guadalupe, Norte, Antioquia, RAP del Agua y la Montaña, Colombia"
"GUADALUPE, HUILA",16,"Guadalupe, Centro, Huila, RAP (Especial) Central, Colombia"
"GUADALUPE, SANTANDER",9,"Guadalupe, Comunera, Santander, RAP Gran Santander, Colombia"
"GUADUAS, CUNDINAMARCA",86,"Guaduas, Bajo Magdalena, Cundinamarca, RAP (Especial) Central, Colombia"
"GUAITARILLA, NARIÑO",13,"Guaitarilla, La Sabana, Nariño, RAP Pacífico, Colombia"
"GUALMATÁN, NARIÑO",5,"Gualmatán, Exprovincia de Obando, Nariño, RAP Pacífico, Colombia"
"GUAMAL, MAGDALENA",18,"Guamal, Magdalena, RAP Caribe, Colombia"
"GUAMAL, META",53,"Guamal, Piedemonte, Meta, RAP (Especial) Central, Colombia"
"GUAMO, TOLIMA",78,"Guamo, Suroriente, Tolima, RAP (Especial) Central, Colombia"
"GUAPI, CAUCA",19,"Guapi, Pacífico, Cauca, RAP Pacífico, Colombia"
"GUAPOTÁ, SANTANDER",1,"Guapotá, Comunera, Santander, RAP Gran Santander, Colombia"
"GUARANDA, SUCRE",8,"Guaranda, La Mojana, Sucre, RAP Caribe, Colombia"
"GUARNE, ANTIOQUIA",173,"Guarne, Oriente, Antioquia, RAP del Agua y la Montaña, Colombia"
"GUASCA, CUNDINAMARCA",46,"Guasca, Pueblo de Guasca, Guasca, Guavio, Cundinamarca, RAP (Especial) Central, 251060, Colombia"
"GUATAPE, ANTIOQUIA",19,"Guatapé, Oriente, Antioquia, RAP del Agua y la Montaña, Colombia"
"GUATAQUÍ, CUNDINAMARCA",2,"Guataquí, Alto Magdalena, Cundinamarca, RAP (Especial) Central, Colombia"
"GUATAVITA, CUNDINAMARCA",19,"Guatavita, Guavio, RAP (Especial) Central, 251060, Colombia"
"GUATEQUE, BOYACA",25,"Guateque, Oriente, Boyacá, RAP (Especial) Central, 153050, Colombia"
"GUAVATÁ, SANTANDER",11,"Guavatá, Vélez, Santander, RAP Gran Santander, Colombia"
"GUAYABAL DE SIQUIMA, CUNDINAMARCA",9,"Guayabal de Síquima, Magdalena Centro, Cundinamarca, RAP (Especial) Central, Colombia"
"GUAYABETAL, CUNDINAMARCA",13,"Guayabetal, Oriente, Cundinamarca, RAP (Especial) Central, Colombia"
"GUAYATÁ, BOYACA",3,"Guayatá, Oriente, Boyacá, RAP (Especial) Central, 153040, Colombia"
"GUTIÉRREZ, CUNDINAMARCA",5,"Gutiérrez, Oriente, Cundinamarca, RAP (Especial) Central, Colombia"
"GUÁTICA, RISARALDA",14,"Guática, Vertiente Occidental, Risaralda, RAP Eje Cafetero, Colombia"
"GÉNOVA, QUINDÍO",10,"Génova, Cordillerana, Quindío, RAP Eje Cafetero, Colombia"
"GÓMEZ PLATA, ANTIOQUIA",15,"Gómez Plata, Norte, Antioquia, RAP del Agua y la Montaña, Colombia"
"GÜEPSA, SANTANDER",10,"Güepsa, Vélez, Santander, RAP Gran Santander, Colombia"
"GÜICÁN, BOYACA",6,"Güicán, Gutiérrez, Boyacá, RAP (Especial) Central, 151440, Colombia"
"HACARÍ, NORTE DE SANTANDER",24,"Hacarí, Occidente, Norte de Santander, RAP Gran Santander, Colombia"
"HATO COROZAL, CASANARE",12,"Hato Corozal, Casanare, RAP Llanos, Colombia"
"HATO, SANTANDER",2,"Hato, Comunera, Santander, RAP Gran Santander, Colombia"
"HATONUEVO, LA GUAJIRA",14,"Hatonuevo, Hato Nuevo, La Guajira, RAP Caribe, Colombia"
"HELICONIA, ANTIOQUIA",10,"Heliconia, Occidente, Antioquia, RAP del Agua y la Montaña, Colombia"
"HERRÁN, NORTE DE SANTANDER",2,"Herrán, Suroriente, Norte de Santander, RAP Gran Santander, Colombia"
"HERVEO, TOLIMA",6,"Herveo, Nevados, Tolima, RAP (Especial) Central, Colombia"
"HISPANIA, ANTIOQUIA",2,"Hispania, Cabecera Municipal Hispania, Hispania, Suroeste, Antioquia, RAP del Agua y la Montaña, Colombia"
"HOBO, HUILA",9,"Hobo, Norte, Huila, RAP (Especial) Central, Colombia"
"HONDA, TOLIMA",129,"Honda, Norte, Tolima, RAP (Especial) Central, 732040, Colombia"
"IBAGUÉ, TOLIMA",4081,"Ibagué, Centro, Tolima, RAP (Especial) Central, Colombia"
"ICONONZO, TOLIMA",10,"Icononzo, Oriente, Tolima, RAP Eje Cafetero, Colombia"
"ILES, NARIÑO",7,"Iles, Exprovincia de Obando, Nariño, RAP Pacífico, Colombia"
"IMUÉS, NARIÑO",12,"Imués, La Sabana, Nariño, RAP Pacífico, Colombia"
"INZÁ, CAUCA",14,"Inzá, Oriente, Cauca, RAP Pacífico, Colombia"
"INÍRIDA, GUAINÍA",50,"Inírida, Guainía, RAP Amazonía, 940001, Colombia"
"IPIALES, NARIÑO",318,"Ipiales, Exprovincia de Obando, Nariño, RAP Pacífico, Colombia"
"IQUIRA, HUILA",17,"Íquira, Norte, Huila, RAP (Especial) Central, Colombia"
"ISNOS, HUILA",30,"Isnos, Sur, Huila, RAP (Especial) Central, Colombia"
"ISTMINA, CHOCÓ",47,"Istmina, San Juan, Chocó, RAP Pacífico, 274010, Colombia"
"ITAGUI, ANTIOQUIA",2046,"Itagüí, Valle de Aburrá, Antioquia, RAP del Agua y la Montaña, Colombia"
"ITUANGO, ANTIOQUIA",24,"Ituango, Norte, Antioquia, RAP del Agua y la Montaña, 052050, Colombia"
"IZA, BOYACA",2,"Iza, Sugamuxi, Boyacá, RAP (Especial) Central, 152240, Colombia"
"JAMBALÓ, CAUCA",228,"Jambaló, Norte, Cauca, RAP Pacífico, Colombia"
"JAMUNDÍ, VALLE DEL CAUCA",790,"Jamundí, Sur, Valle del Cauca, RAP Pacífico, Colombia"
"JARDÍN, ANTIOQUIA",18,"Jardín, Cabecera Municipal, Jardín, Suroeste, Antioquia, RAP del Agua y la Montaña, 056050, Colombia"
"JENESANO, BOYACA",8,"Jenesano, Márquez, Boyacá, RAP (Especial) Central, 153601, Colombia"
"JERICÓ, ANTIOQUIA",22,"Jericó, Cabecera Municipal Jericó, Jericó, Suroeste, Antioquia, RAP del Agua y la Montaña, 056010, Colombia"
"JERICÓ, BOYACA",2,"Jericó, Valderrama, Boyacá, RAP (Especial) Central, Colombia"
"JERUSALÉN, CUNDINAMARCA",1,"Jerusalén, Alto Magdalena, Cundinamarca, RAP (Especial) Central, Colombia"
"JESÚS MARÍA, SANTANDER",6,"Jesús María, Vélez, Santander, RAP Gran Santander, Colombia"
"JUAN DE ACOSTA, ATLÁNTICO",22,"Juan de Acosta, Atlántico, RAP Caribe, Colombia"
"JUNÍN, CUNDINAMARCA",12,"Junín, Guavio, RAP (Especial) Central, Colombia"
"JURADÓ, CHOCÓ",2,"Juradó, Pacífico Norte, Chocó, RAP Pacífico, Colombia"
"LA APARTADA, CÓRDOBA",6,"La Apartada, San Jorge, Córdoba, RAP Caribe, Colombia"
"LA ARGENTINA, HUILA",17,"La Argentina, Occidente, Huila, RAP (Especial) Central, Colombia"
"LA BELLEZA, SANTANDER",9,"La Belleza, Vélez, Santander, RAP Gran Santander, 685061, Colombia"
"LA CALERA, CUNDINAMARCA",201,"La Calera, Guavio, Cundinamarca, RAP (Especial) Central, Colombia"
"LA CAPILLA, BOYACA",2,"La Capilla, Oriente, Boyacá, RAP (Especial) Central, Colombia"
"LA CEJA, ANTIOQUIA",238,"La Ceja, Oriente, Antioquia, RAP del Agua y la Montaña, 055010, Colombia"
"LA CELIA, RISARALDA",12,"La Celia, Vertiente Occidental, Risaralda, RAP Eje Cafetero, Colombia"
"LA CRUZ, NARIÑO",12,"La Cruz, Río Mayo, Nariño, RAP Pacífico, Colombia"
"LA CUMBRE, VALLE DEL CAUCA",27,"La Cumbre, Sur, Valle del Cauca, RAP Pacífico, Colombia"
"LA DORADA, CALDAS",237,"La Dorada, Magdalena Caldense, Caldas, RAP del Agua y la Montaña, Colombia"
"LA ESPERANZA, NORTE DE SANTANDER",2,"La Esperanza, Occidente, Norte de Santander, RAP Gran Santander, Colombia"
"LA ESTRELLA, ANTIOQUIA",426,"La Estrella, La Estrella, Antioquia, Valle de Aburrá, Antioquia, RAP del Agua y la Montaña, 055460, Colombia"
"LA FLORIDA, NARIÑO",9,"La Florida, Centro, Nariño, RAP Pacífico, Colombia"
"LA GLORIA, CESAR",13,"La Gloria, Cesar, RAP Caribe, Colombia"
"LA JAGUA DE IBIRICO, CESAR",68,"La Jagua de Ibirico, Cesar, RAP Caribe, Colombia"
"LA JAGUA DEL PILAR, LA GUAJIRA",2,"La Jagua del Pilar, La Guajira, RAP Caribe, Colombia"
"LA LLANADA, NARIÑO",4,"La Llanada, Guambuyaco, Nariño, RAP Pacífico, Colombia"
"LA MACARENA, META",19,"La Macarena, Ariari, Meta, RAP (Especial) Central, Colombia"
"LA MERCED, CALDAS",9,"La Merced, Alto Occidente, Caldas, RAP del Agua y la Montaña, Colombia"
"LA MESA, CUNDINAMARCA",155,"La Mesa, Tequendama, Cundinamarca, RAP (Especial) Central, 262511, Colombia"
"LA MONTAÑITA, CAQUETÁ",9,"La Montañita, Caquetá, RAP Amazonía, Colombia"
"LA PALMA, CUNDINAMARCA",7,"La Palma, Provincia de Rionegro, Cundinamarca, RAP (Especial) Central, Colombia"
"LA PAZ, CESAR",47,"La Paz, Cesar, RAP Caribe, Colombia"
"LA PAZ, SANTANDER",6,"La Paz, Vélez, Santander, RAP Gran Santander, Colombia"
"LA PEDRERA, AMAZONAS",1,"La Pedrera, Amazonas, RAP Amazonía, Colombia"
"LA PEÑA, CUNDINAMARCA",4,"La Peña, Gualivá, Cundinamarca, RAP (Especial) Central, 253640, Colombia"
"LA PINTADA, ANTIOQUIA",13,"La Pintada, Suroeste, Antioquia, RAP del Agua y la Montaña, 055060, Colombia"
"LA PLATA, HUILA",110,"La Plata, Occidente, Huila, RAP (Especial) Central, Colombia"
"LA PLAYA, NORTE DE SANTANDER",5,"La Playa, Sardinata, Norte, Norte de Santander, RAP Gran Santander, Colombia"
"LA PRIMAVERA, VICHADA",5,"La Primavera, Vichada, RAP Llanos, Colombia"
"LA SIERRA, CAUCA",19,"La Sierra, Macizo, Cauca, RAP Pacífico, Colombia"
"LA TEBAIDA, QUINDÍO",75,"La Tebaida, Valle, Quindío, RAP Eje Cafetero, Colombia"
"LA UNIÓN, ANTIOQUIA",53,"La Unión, Oriente, Antioquia, RAP del Agua y la Montaña, Colombia"
"LA UNIÓN, NARIÑO",46,"La Unión, Juanambú, Nariño, RAP Pacífico, 521520, Colombia"
"LA UNIÓN, SUCRE",10,"La Unión, San Jorge, Sucre, RAP Caribe, Colombia"
"LA UNIÓN, VALLE DEL CAUCA",81,"La Unión, Norte, Valle del Cauca, RAP Pacífico, Colombia"
"LA UVITA, BOYACA",5,"La Uvita, Norte, Boyacá, RAP (Especial) Central, Colombia"
"LA VEGA, CAUCA",9,"La Vega, Macizo, Cauca, RAP Pacífico, Colombia"
"LA VEGA, CUNDINAMARCA",89,"La Vega, Gualivá, Cundinamarca, RAP (Especial) Central, 253610, Colombia"
"LA VICTORIA, BOYACA",1,"La Victoria, Occidente, Boyacá, RAP (Especial) Central, Colombia"
"LA VICTORIA, VALLE DEL CAUCA",21,"La Victoria, Norte, Valle del Cauca, RAP Pacífico, Colombia"
"LA VIRGINIA, RISARALDA",91,"La Virginia, Risaralda, RAP Eje Cafetero, Colombia"
"LABATECA, NORTE DE SANTANDER",6,"Labateca, Suroriente, Norte de Santander, RAP Gran Santander, Colombia"
"LABRANZAGRANDE, BOYACA",3,"Labranzagrande, La Libertad, Boyacá, RAP (Especial) Central, Colombia"
"LANDÁZURI, SANTANDER",10,"Landázuri, Vélez, Santander, RAP Gran Santander, Colombia"
"LEBRÍJA, SANTANDER",71,"Lebrija, Metropolitana, Santander, RAP Gran Santander, Colombia"
"LEGUÍZAMO, PUTUMAYO",23,"Puerto Leguízamo, Putumayo, RAP Amazonía, Colombia"
"LEIVA, NARIÑO",3,"Leiva, La Cordillera, Nariño, RAP Pacífico, Colombia"
"LEJANÍAS, META",14,"Lejanías, Ariari, Meta, RAP (Especial) Central, 506061, Colombia"
"LENGUAZAQUE, CUNDINAMARCA",13,"Río Lenguazaque, Lenguazaque, Ubaté, Cundinamarca, RAP (Especial) Central, Colombia"
"LETICIA, AMAZONAS",42,"Leticia, Amazonas, RAP Amazonía, Colombia"
"LIBORINA, ANTIOQUIA",5,"Liborina, Occidente, Antioquia, RAP del Agua y la Montaña, Colombia"
"LINARES, NARIÑO",5,"Linares, Occidente, Nariño, RAP Pacífico, Colombia"
"LLORÓ, CHOCÓ",5,"Lloró, Atrato, Chocó, RAP Pacífico, Colombia"
"LORICA, CÓRDOBA",155,"Lorica, Bajo Sínú, Córdoba, RAP Caribe, 231020, Colombia"
"LOS ANDES, NARIÑO",7,"Sotomayor (Los Andes), Los Andes Sotomayor, Guambuyaco, Nariño, RAP Pacífico, Colombia"
"LOS CÓRDOBAS, CÓRDOBA",5,"Los Córdobas, Costanera, Córdoba, RAP Caribe, Colombia"
