ubicacion,TOTAL_PROCESOS,coordenadas
"ARBOLEDAS, NORTE DE SANTANDER",6,"Arboledas, Centro, Norte de Santander, RAP Gran Santander, Colombia"
"ARBOLETES, ANTIOQUIA",26,"Arboletes, Urabá, Antioquia, RAP del Agua y la Montaña, 057820, Colombia"
"ARCABUCO, BOYACA",15,"Arcabuco, Ricaurte, Boyacá, RAP (Especial) Central, Colombia"
"ARENAL, BOLÍVAR",4,"Arenal, Bolívar, RAP Caribe, Colombia"
"ARGELIA, ANTIOQUIA",9,"Argelia, Oriente, Antioquia, RAP del Agua y la Montaña, Colombia"
"ARGELIA, CAUCA",6,"Argelia, Sur del Cauca, Cauca, RAP Pacífico, Colombia"
"ARGELIA, VALLE DEL CAUCA",3,"Argelia, Norte, Valle del Cauca, RAP Pacífico, Colombia"
"ARIGUANÍ, MAGDALENA",27,"Ariguaní (El Difìcil), Magdalena, RAP Caribe, Colombia"
"ARJONA, BOLÍVAR",73,"Arjona, Dique, Bolívar, RAP Caribe, 131020, Colombia"
"ARMENIA, ANTIOQUIA",4,"Armenia, Occidente, Antioquia, RAP del Agua y la Montaña, 055860, Colombia"
"ARMENIA, QUINDÍO",1842,"Armenia, Capital, Quindío, RAP Eje Cafetero, Colombia"
"ARMERO, TOLIMA",20,"Armero, Venadillo, Nevados, Tolima, RAP (Especial) Central, Colombia"
"ARROYOHONDO, BOLÍVAR",2,"Arroyohondo, Dique, Bolívar, RAP Caribe, Colombia"
"ASTREA, CESAR",14,"Astrea, Cesar, RAP Caribe, Colombia"
"ATACO, TOLIMA",16,"Ataco, Sur, Tolima, RAP (Especial) Central, Colombia"
"ATRATO, CHOCÓ",12,"El Atrato, Atrato, Chocó, RAP Pacífico, Colombia"
"AYAPEL, CÓRDOBA",19,"Ayapel, San Jorge, Córdoba, RAP Caribe, Colombia"
"BAGADÓ, CHOCÓ",4,"Bagadó, Atrato, Chocó, RAP Pacífico, Colombia"
"BAHÍA SOLANO, CHOCÓ",25,"Bahía Solano (Mutis), Pacífico Norte, Chocó, RAP Pacífico, Colombia"
"BAJO BAUDÓ, CHOCÓ",8,"Bajo Baudó (Pizarro), Pacífico Sur, Chocó, RAP Pacífico, Colombia"
"BALBOA, CAUCA",8,"Balboa, Sur del Cauca, Cauca, RAP Pacífico, Colombia"
"BALBOA, RISARALDA",7,"Balboa, Vertiente Occidental, Risaralda, RAP Eje Cafetero, Colombia"
"BARANOA, ATLÁNTICO",83,"Baranoa, Atlántico, RAP Caribe, 082020, Colombia"
"BARAYA, HUILA",6,"Baraya, Norte, Huila, RAP (Especial) Central, Colombia"
"BARBACOAS, NARIÑO",5,"Barbacoas, Telembí, Nariño, RAP Pacífico, Colombia"
"BARBOSA, ANTIOQUIA",144,"Barbosa, Valle de Aburrá, Antioquia, RAP del Agua y la Montaña, Colombia"
"BARBOSA, SANTANDER",122,"Barbosa, Vélez, Santander, RAP Gran Santander, 684511, Colombia"
"BARICHARA, SANTANDER",14,"Barichara, Guanentá, Santander, RAP Gran Santander, Colombia"
"BARRANCA DE UPÍA, META",14,"Barranca de Upía, Piedemonte, Meta, RAP (Especial) Central, Colombia"
"BARRANCABERMEJA, SANTANDER",1057,"Barrancabermeja, Yariguíes, Santander, RAP Gran Santander, 687031, Colombia"
"BARRANCAS, LA GUAJIRA",28,"Barrancas, La Guajira, RAP Caribe, Colombia"
"BARRANCO DE LOBA, BOLÍVAR",3,"Barranco de Loba, Bolívar, RAP Caribe, Colombia"
"BARRANCO MINAS, GUAINÍA",1,"Aeropuerto Barrancominas, Barrancominas, Guainía, RAP Amazonía, Colombia"
"BARRANQUILLA, ATLÁNTICO",8094,"Barranquilla, Atlántico, RAP Caribe, Colombia"
"BECERRIL, CESAR",24,"Becerril, Cesar, RAP Caribe, Colombia"
"BELALCÁZAR, CALDAS",8,"Belalcázar, Bajo Occidente, Caldas, RAP del Agua y la Montaña, Colombia"
"BELLO, ANTIOQUIA",2883,"Bello, Valle de Aburrá, Antioquia, RAP del Agua y la Montaña, 051053, Colombia"
"BELMIRA, ANTIOQUIA",5,"Belmira, Norte, Antioquia, RAP del Agua y la Montaña, Colombia"
"BELTRÁN, CUNDINAMARCA",3,"Beltrán, Magdalena Centro, RAP (Especial) Central, Colombia"
"BELÉN DE LOS ANDAQUIES, CAQUETÁ",18,"Belén de los Andaquíes, Caquetá, RAP Amazonía, Colombia"
"BELÉN DE UMBRÍA, RISARALDA",117,"Belén de Umbría, Vertiente Occidental, Risaralda, RAP Eje Cafetero, Colombia"
"BELÉN, BOYACA",14,"Belén, Tundama, Boyacá, RAP (Especial) Central, 150640, Colombia"
"BELÉN, NARIÑO",1,"Belén, Río Mayo, Nariño, RAP Pacífico, Colombia"
"BERBEO, BOYACA",1,"Berbeo, Lengupá, Boyacá, RAP (Especial) Central, Colombia"
"BETANIA, ANTIOQUIA",16,"Betania, Suroeste, Antioquia, RAP del Agua y la Montaña, 056070, Colombia"
"BETULIA, ANTIOQUIA",8,"Betulia, Suroeste, Antioquia, RAP del Agua y la Montaña, Colombia"
"BETULIA, SANTANDER",3,"Betulia, Yariguíes, Santander, RAP Gran Santander, Colombia"
"BITUIMA, CUNDINAMARCA",3,"Bituima, Magdalena Centro, Cundinamarca, RAP (Especial) Central, Colombia"
"BOAVITA, BOYACA",5,"Boavita, Norte, Boyacá, RAP (Especial) Central, 151060, Colombia"
"BOCHALEMA, NORTE DE SANTANDER",22,"Bochalema, Suroriente, Norte de Santander, RAP Gran Santander, Colombia"
"BOGOTÁ, D.C., BOGOTÁ, D. C.",74948,
"BOJACÁ, CUNDINAMARCA",43,"Bojacá, Sabana Occidente, Cundinamarca, RAP (Especial) Central, Colombia"
"BOJAYA, CHOCÓ",2,"Bojayá (Bellavista), Atrato, Chocó, RAP Pacífico, Colombia"
"BOLÍVAR, CAUCA",21,"Bolívar, Sur del Cauca, Cauca, RAP Pacífico, 195007, Colombia"
"BOLÍVAR, SANTANDER",4,"Bolívar, Vélez, Santander, RAP Gran Santander, Colombia"
"BOLÍVAR, VALLE DEL CAUCA",27,"Bolívar, Norte, Valle del Cauca, RAP Pacífico, 761007, Colombia"
"BOSCONIA, CESAR",119,"Bosconia, Cesar, RAP Caribe, 201020, Colombia"
"BOYACÁ, BOYACA",14,"Boyacá, Márquez, Boyacá, RAP (Especial) Central, Colombia"
"BRICEÑO, ANTIOQUIA",8,"Briceño, Norte, Antioquia, RAP del Agua y la Montaña, Colombia"
"BRICEÑO, BOYACA",4,"Briceño, Occidente, Boyacá, RAP (Especial) Central, Colombia"
"BUCARAMANGA, SANTANDER",4049,"Bucaramanga, Metropolitana, Santander, RAP Gran Santander, Colombia"
"BUCARASICA, NORTE DE SANTANDER",1,"Bucarasica, Norte, Norte de Santander, RAP Gran Santander, Colombia"
"BUENAVENTURA, VALLE DEL CAUCA",675,"Buenaventura, Valle del Cauca, RAP Pacífico, Colombia"
"BUENAVISTA, BOYACA",5,"Buenavista, Occidente, Boyacá, RAP (Especial) Central, 155067, Colombia"
"BUENAVISTA, CÓRDOBA",12,"Buenavista, San Jorge, Córdoba, RAP Caribe, Colombia"
"BUENAVISTA, QUINDÍO",3,"Buenavista, Capital, Quindío, RAP Eje Cafetero, Colombia"
"BUENAVISTA, SUCRE",9,"Buenavista, Montes de María, Sucre, RAP Caribe, Colombia"
"BUENOS AIRES, CAUCA",6,"Buenos Aires, Norte, Cauca, RAP Pacífico, Colombia"
"BUESACO, NARIÑO",16,"Buesaco, Juanambú, Nariño, RAP Pacífico, Colombia"
"BUGALAGRANDE, VALLE DEL CAUCA",72,"Bugalagrande, Centro, Valle del Cauca, RAP Pacífico, Colombia"
"BURITICÁ, ANTIOQUIA",9,"Buriticá, Occidente, Antioquia, RAP del Agua y la Montaña, 057038, Colombia"
"BUSBANZÁ, BOYACA",1,"Busbanzá, Tundama, Boyacá, RAP (Especial) Central, Colombia"
"CABRERA, CUNDINAMARCA",8,"Cabrera, Sumapaz, Cundinamarca, RAP (Especial) Central, Colombia"
"CABRERA, SANTANDER",5,"Cabrera, Guanentá, Santander, RAP Gran Santander, Colombia"
"CABUYARO, META",12,"Cabuyaro, Rio Meta, Meta, RAP (Especial) Central, Colombia"
"CACHIPAY, CUNDINAMARCA",36,"Cachipay, Tequendama, RAP (Especial) Central, Colombia"
"CACHIRÁ, NORTE DE SANTANDER",4,"Cáchira, Occidente, Norte de Santander, RAP Gran Santander, Colombia"
"CAICEDO, ANTIOQUIA",7,"Caicedo, Suroeste, Antioquia, RAP del Agua y la Montaña, Colombia"
"CAICEDONIA, VALLE DEL CAUCA",38,"Caicedonia, Nororiente, Valle del Cauca, RAP Pacífico, Colombia"
"CAIMITO, SUCRE",5,"Caimito, San Jorge, Sucre, RAP Caribe, Colombia"
"CAJAMARCA, TOLIMA",26,"Cajamarca, Centro, Tolima, RAP (Especial) Central, Colombia"
"CAJIBÍO, CAUCA",19,"Cajibío, Centro, Cauca, RAP Pacífico, Colombia"
"CAJICÁ, CUNDINAMARCA",709,"Las Huertas de Cajicá Club Residencial, Cajicá, Sabana Centro, Cundinamarca, RAP (Especial) Central, Colombia"
"CALAMAR, BOLÍVAR",12,"Calamar, Dique, Bolívar, RAP Caribe, Colombia"
"CALAMAR, GUAVIARE",6,"Calamar, Guaviare, RAP Amazonía, Colombia"
"CALARCA, QUINDÍO",223,"Calarcá, Capital, Quindío, RAP Eje Cafetero, 632001, Colombia"
"CALDAS, ANTIOQUIA",409,"Caldas, Valle de Aburrá, Antioquia, RAP del Agua y la Montaña, 055440, Colombia"
"CALDONO, CAUCA",23,"Caldonó, Norte, Cauca, RAP Pacífico, Colombia"
"CALI, VALLE DEL CAUCA",14321,"Cali, Sur, Valle del Cauca, RAP Pacífico, Colombia"
"CALIFORNIA, SANTANDER",3,"California, Soto Norte, Santander, RAP Gran Santander, Colombia"
"CALIMA, VALLE DEL CAUCA",39,"Calima, Centro, Valle del Cauca, RAP Pacífico, Colombia"
"CALOTO, CAUCA",68,"Caloto, Norte, Cauca, RAP Pacífico, Colombia"
"CAMPAMENTO, ANTIOQUIA",5,"Campamento, Norte, Antioquia, RAP del Agua y la Montaña, Colombia"
"CAMPO DE LA CRUZ, ATLÁNTICO",10,"Campo de la Cruz, Atlántico, RAP Caribe, Colombia"
"CAMPOALEGRE, HUILA",51,"Campoalegre, Norte, Huila, RAP (Especial) Central, Colombia"
"CAMPOHERMOSO, BOYACA",6,"Campohermoso, Lengupá, Boyacá, RAP (Especial) Central, Colombia"
"CANALETE, CÓRDOBA",5,"Canalete, Costanera, Córdoba, RAP Caribe, Colombia"
"CANDELARIA, ATLÁNTICO",10,"Candelaria, Atlántico, RAP Caribe, Colombia"
"CANDELARIA, VALLE DEL CAUCA",288,"Candelaria, Sur, Valle del Cauca, RAP Pacífico, 763577, Colombia"
"CANTAGALLO, BOLÍVAR",8,"Cantagallo, Bolívar, RAP Caribe, Colombia"
"CAPARRAPÍ, CUNDINAMARCA",11,"Caparrapí, Bajo Magdalena, Cundinamarca, RAP (Especial) Central, Colombia"
"CAPITANEJO, SANTANDER",9,"Capitanejo, García Rovira, Santander, RAP Gran Santander, Colombia"
"CAQUEZA, CUNDINAMARCA",68,"Cáqueza, Oriente, Cundinamarca, RAP (Especial) Central, Colombia"
"CARACOLÍ, ANTIOQUIA",4,"Caracolí, Magdalena Medio, Antioquia, RAP del Agua y la Montaña, Colombia"
"CARAMANTA, ANTIOQUIA",4,"Caramanta, Suroeste, Antioquia, RAP del Agua y la Montaña, Colombia"
"CARCASÍ, SANTANDER",2,"Carcasí, García Rovira, Santander, RAP Gran Santander, Colombia"
"CAREPA, ANTIOQUIA",94,"Carepa, Urabá, Antioquia, RAP del Agua y la Montaña, Colombia"
"CARMEN DE APICALÁ, TOLIMA",36,"Carmen de Apicalá, Carmen de Apicala, Oriente, Tolima, RAP Eje Cafetero, Colombia"
"CARMEN DE CARUPA, CUNDINAMARCA",3,"Carmen de Carupa, Ubaté, RAP (Especial) Central, Colombia"
"CARMEN DEL DARIEN, CHOCÓ",2,"Carmen del Darién (Curbaradó), Darién, Chocó, RAP Pacífico, Colombia"
"CAROLINA, ANTIOQUIA",7,"Carolina, Yarumal, Norte, Antioquia, RAP del Agua y la Montaña, Colombia"
"CARTAGENA DEL CHAIRÁ, CAQUETÁ",26,"Cartagena del Chairá, Caquetá, RAP Amazonía, Colombia"
"CARTAGENA, BOLÍVAR",4723,"Cartagena de Indias, Dique, Bolívar, RAP Caribe, Colombia"
"CARTAGO, VALLE DEL CAUCA",418,"Cartago, Norte, Valle del Cauca, RAP Pacífico, Colombia"
"CARURU, VAUPÉS",3,"Caruru, Mitú, Vaupés, RAP Amazonía, Colombia"
"CASABIANCA, TOLIMA",12,"Casabianca, Nevados, Tolima, RAP (Especial) Central, Colombia"
"CASTILLA LA NUEVA, META",39,"Castilla La Nueva, Piedemonte, Meta, RAP (Especial) Central, Colombia"
"CAUCASIA, ANTIOQUIA",242,"Caucasia, Bajo Cauca, Antioquia, RAP del Agua y la Montaña, 052410, Colombia"
"CAÑASGORDAS, ANTIOQUIA",17,"Cañasgordas, Occidente, Antioquia, RAP del Agua y la Montaña, 057060, Colombia"
"CEPITÁ, SANTANDER",1,"Cepitá, Guanentá, Santander, RAP Gran Santander, Colombia"
"CERETÉ, CÓRDOBA",183,"Cereté, Medio Sinú, Córdoba, RAP Caribe, Colombia"
"CERINZA, BOYACA",5,"Cerinza, Tundama, Boyacá, RAP (Especial) Central, Colombia"
"CERRITO, SANTANDER",4,"Cerrito, García Rovira, Santander, RAP Gran Santander, Colombia"
"CERRO SAN ANTONIO, MAGDALENA",6,"Río Magdalena, Suan, Atlántico, RAP Caribe, Colombia"
"CHACHAGÜÍ, NARIÑO",29,"Chachagüí, Centro, Nariño, RAP Pacífico, Colombia"
"CHAGUANÍ, CUNDINAMARCA",8,"Chaguaní, Magdalena Centro, Cundinamarca, RAP (Especial) Central, Colombia"
"CHALÁN, SUCRE",7,"Chalán, Montes de María, Sucre, RAP Caribe, Colombia"
"CHAMEZA, CASANARE",5,"Chámeza, Casanare, RAP Llanos, Colombia"
"CHAPARRAL, TOLIMA",90,"Chaparral, Sur, Tolima, RAP (Especial) Central, 735560, Colombia"
"CHARALÁ, SANTANDER",24,"Charalá, Guanentá, Santander, RAP Gran Santander, Colombia"
"CHARTA, SANTANDER",2,"Charta, Soto Norte, Santander, RAP Gran Santander, 680551, Colombia"
"CHIBOLO, MAGDALENA",13,"Chibolo, Magdalena, RAP Caribe, Colombia"
"CHIGORODÓ, ANTIOQUIA",73,"Chigorodó, Urabá, Antioquia, RAP del Agua y la Montaña, Colombia"
