Departamento ,Total Personas de 5 años y más,Total Usó internet en cualquier lugar
Amazonas,76,30
Antioquia,6615,5350
Arauca,282,186
Atlantico,2660,2144
Bogota DC,7580,6508
Bolivar,2086,1443
Boyaca,1194,811
Caldas,995,763
Caqueta,386,279
Casanare,410,310
Cauca,1427,941
Cesar,1236,927
Choco,501,218
Cordoba,1726,1165
Cundinamarca,3371,2816
Guainia,45,24
Guaviare,84,61
Huila,1060,822
La Guajira,912,480
Magdalena,1358,979
Meta,1008,874
Nariño,1523,1005
Norte de Santander,1535,1142
Putumayo,342,203
Quindio,552,445
Risaralda,937,736
San Andres,41,28
Santander,2208,1786
Sucre,904,604
Tolima,1267,965
Valle,4353,3686
Vaupes,45,15
Vichada,107,15
