Departamento ,Total Personas de 5 años y más,Total Usó internet en cualquier lugar
Amazonas,73,25
Antioquia,6345,4758
Arauca,274,182
Atlantico,2575,1961
Bogota DC,7421,6373
Bolivar,2041,1335
Boyaca,1170,800
Caldas,966,708
Caqueta,377,242
Casanare,403,277
Cauca,1395,853
Cesar,1208,777
Choco,495,223
Cordoba,1695,978
Cundinamarca,3179,2536
Guainia,45,15
Guaviare,80,47
Huila,1038,741
La Guajira,880,387
Magdalena,1319,831
Meta,993,787
Nariño,1511,919
Norte de Santander,1513,1062
Putumayo,334,176
Quindio,533,403
Risaralda,915,730
San Andres,40,34
Santander,2163,1617
Sucre,888,489
Tolima,1258,883
Valle,4272,3539
Vaupes,41,9
Vichada,99,17
